Component,ExactMatchInputxbar,TernaryMatchInputxbar,HashBit,HashDistUnit,Gateway,SRAM,MapRAM,TCAM,VLIWInstr,MeterALU,StatsALU,Stash,ExactMatchSearchBus,ExactMatchResultBus,TindResultBus,ActionDataBusBytes,8-bitActionSlots,16-bitActionSlots,32-bitActionSlots,LogicalTableID
Parsing and Forwarding,4.69,0.00,9.62,0.00,0.00,5.00,0.00,0.00,6.25,0.00,0.00,6.25,6.25,6.25,6.25,1.56,0.00,0.00,0.00,12.50
Connection Tracking,6.84,0.00,5.89,12.50,12.50,3.44,3.65,0.00,3.91,18.75,0.00,1.56,10.94,7.81,3.12,1.37,0.00,0.00,0.00,15.62
Write Steering,7.25,0.00,4.74,14.29,16.96,9.64,14.88,0.00,5.36,28.57,0.00,0.89,12.50,11.61,5.36,2.90,0.00,0.00,0.00,19.64
Read Steering,10.74,0.00,14.78,27.08,25.78,24.84,40.36,0.00,6.64,43.75,0.00,0.78,18.75,17.97,9.38,4.69,0.00,0.00,0.00,29.69
All,9.98,0.00,9.94,24.07,23.61,18.61,30.09,0.00,6.25,44.44,5.56,0.69,16.67,15.97,11.11,3.82,0.00,0.00,0.00,29.17
